FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825385937447637e-06,8.649884369744163e-08,2.910006238036987e-09,1.4264702396663103e-12,1.9878217326031642e-14,1.3782309516109691e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594342140440155e-05,5.0235130476109164e-06,1.2421612533376702e-06,5.028375156335083e-09,6.725122135943048e-10,5.6304157496639e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290509086468732e-05,6.131116365673483e-06,1.7288061798987423e-06,7.764220317896903e-09,1.411114167065854e-09,8.81349622542879e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428828746510671e-05,2.5474282843899957e-05,1.0211873436771254e-05,7.488128810926331e-08,1.9846986667613113e-08,1.3083586226089148e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738472719460877,4.810850180002585e-05,3.556424180528587e-05,4.332067041117212e-07,2.3402657475612765e-07,1.3942708526748632e-07
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.707448981904857e-06,8.498567288391539e-08,2.963435999164276e-09,1.5091088241304768e-12,6.28851689469024e-11,2.0518258882008328e-11
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498795864108773,0.0001417220429822722,0.0001723325212360646,3.451656972701126e-06,3.265239661674779e-06,2.672229146342125e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769849329732284,0.000178149173322121,0.00024063754971712412,5.5638769738581405e-06,5.832648330679598e-06,3.6774673632250306e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.0004609816268615237,0.00035585485782859875,0.0006587565155022389,2.010270192777698e-05,3.046203587807225e-05,1.7867717188068692e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049282176094639,0.000780552458821049,0.0017697488192384978,7.321464473480407e-05,0.00011749886802625036,7.708654804768938e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0008987084722020452,0.001000782677928542,0.003086018221535994,0.00016596349707686015,0.00041202254631097276,0.00025671949820037346
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016429812709378587,0.002170498534768915,0.008668788790890563,0.0006284218518800769,0.0018928662622187567,0.001456480649778399
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022539509915791376,0.003325565390439617,0.015257574607858154,0.0014171377316909387,0.004487131592494594,0.00275990544029406
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002884392871496957,0.0044958391181058165,0.02345742917447806,0.002405214061023362,0.008768779660672125,0.005786331891369579
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002928016295596564,0.004877256278125983,0.034412765189033676,0.005584513937711636,0.0406311656834988,0.024167984505462974
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005538452174438039,0.010167006623712524,0.0860055248509172,0.02066892301179631,0.40851408430461944,0.3222728486193651
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008338327202405373,0.014436745678203411,0.12609919960960428,0.032001711045012045,1.0053906587074384,1.1647564267686865
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012479312509349881,0.019995416927493473,0.17471305290846564,0.054180117056842815,2.086674952054491,2.115748508198112
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013906147842172997,0.022419721212918846,0.19948987518209124,0.06257794641698863,3.366443220909706,3.546471051732683
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.030733336990518577,0.046985594206759,0.4227423677453035,0.17727019115812945,8.13397731772505,5.999085236039823
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13656478701345523,0.2043491127652296,1.7824919809850224,0.9198320613939415,19.415238963580077,8.906063439473128
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.01653093547547675,0.0261032562922398,0.2359813018680359,0.08565956265583904,5.722698069700538,5.05404273284374
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03445286316724911,0.05225676303690435,0.47199412912705857,0.22980543378492208,13.15024670045627,6.6952099228840485
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.09827468588348308,0.14683559059218076,1.3150419959753525,0.7618397913065512,33.5949019215103,11.755432278082251
