FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.825386587620686e-06,8.649887694866854e-08,2.91003178220425e-09,3.071877675016732e-12,2.5062758571613542e-14,3.960890570420411e-18
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159433725843445e-05,5.023512294645339e-06,1.2421653965801273e-06,1.146504501378747e-08,8.664382700810567e-10,1.3456669678365914e-12
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905108820595944e-05,6.131122521397499e-06,1.7288094612233787e-06,1.7797596648589286e-08,1.4670515356927622e-09,2.959460573556772e-12
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.42883448119608e-05,2.547430986715477e-05,1.0211886918380933e-05,1.4772511343965644e-07,1.6716243656220568e-08,5.362595888815059e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738977776243461,4.811146413671911e-05,3.556689036216106e-05,1.031987807772844e-06,2.4638445914991836e-07,1.5608085591872633e-09
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499045810126543,0.00014174186983455518,0.00017236019490901502,8.756987342559252e-06,3.7991816934107055e-06,4.4769374500322366e-08
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770665283117827,0.00017821904163695934,0.00024074543024772102,1.3605535038676996e-05,6.483362670132952e-06,8.46330910536054e-08
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046143631134033873,0.00035630520990934155,0.0006596901044909552,5.426779334187151e-05,3.864827617230966e-05,7.233118837981653e-07
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008061388881044949,0.0007819895041508625,0.0017732076941208398,0.0001712369057261437,0.00013611293314622213,2.96726082987998e-06
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009026972550944264,0.001005940726254075,0.003102644373900994,0.0004431057960178566,0.0005518110692526369,1.9040650220928126e-05
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016544950176994688,0.0021876498803443385,0.008736311130293982,0.0016522818496398147,0.0026404991096482294,0.00012006336235039212
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022783082979733606,0.0033648432155295896,0.01543461797571603,0.003341707317448407,0.005837459081326724,0.00028608159530973146
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002931790097820596,0.0045732944528840405,0.023834726312244627,0.006071583344639077,0.012558038092466261,0.0007587278241743739
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003044133234039649,0.005064763501623983,0.0355693617713295,0.01495177551467092,0.05846068482689625,0.008737467745299123
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005952248590017592,0.011156769990858994,0.09728631154938376,0.0573115701416465,0.33520406779496686,0.14472598218530186
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00863665676410714,0.01558183535325071,0.14196069341502382,0.09600469679724202,0.7499837528315282,0.7877460488341342
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012188477344779038,0.020208013388323176,0.18351000413325447,0.12957963075397416,1.1495440653726834,2.1233477758891954
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13479049346456487,0.20210273858505842,1.7655643271894794,1.2947873703991777,10.683103564488512,15.568102585535707
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.029732646496182964,0.04599432416328241,0.4198063712621376,0.31236391870721414,3.1845363492886705,9.064290573690535
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.013361096928506509,0.02223784451969295,0.20444787840455744,0.14440238837079378,1.3717638316670469,4.019335938902437
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.016019105740633977,0.025948377690969575,0.24112808762226062,0.17583392044886745,1.8125907665936754,6.998744337832833
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,1000.0,20.0,1000.0,0.1002920590860635,0.15027972108297175,1.3491234562190726,1.0180494896341694,10.38149040610323,31.633039767893056
