FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253867685247796e-06,8.649889036060162e-08,2.910035117006155e-09,3.071730355773211e-12,4.1839569661346333e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.1594337916490494e-05,5.023512343632962e-06,1.24216592016601e-06,1.1465054085446485e-08,1.5023516306988891e-09
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.2905107851439e-05,6.131122168540496e-06,1.7288092721812477e-06,1.7797600710373763e-08,3.1596800425866916e-09
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428832700988399e-05,2.547430219506625e-05,1.0211883010507369e-05,1.4772512507025975e-07,3.814412260706663e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.00011738944037375524,4.811125911072684e-05,3.556669552548098e-05,1.0319825559223407e-06,5.431130949326847e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.00024989993719975654,0.00014173794513665938,0.00017235397548671894,8.756676100364796e-06,8.00917695438391e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002770570415770197,0.00017821029130642306,0.00024073020181761073,1.360467950495078e-05,1.3892113191233205e-05
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046137526603888263,0.00035624019426632754,0.0006595384173641849,5.4255718099842354e-05,8.055021319807327e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.000805908636474587,0.0007816884989219597,0.001772352532695374,0.0001711593769589153,0.0002666540255009621
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.0009017021681871624,0.0010045423712962645,0.0030974177305129985,0.0004424292579250042,0.001077988930781156
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.0016494935520814415,0.0021794630613532584,0.008697315336528372,0.0016460679578248613,0.004832003306727294
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022659778094429963,0.0033429899950759424,0.015314744205764895,0.003320574357475711,0.010329110601669663
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.002902801309122555,0.0045207726188724,0.023517627437772057,0.006008835399929933,0.021744380342642755
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.0028919474023673614,0.004783277580790457,0.033395269405306,0.014228255393497957,0.11662032009395665
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005609470244881059,0.010108534521937102,0.08360881271339568,0.047770602572244705,1.0115629933752601
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008911484374936173,0.015001740188649613,0.12726499456234036,0.08185173721815574,2.637397187694373
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1472417067849999,0.22013880156368626,1.9127791470744973,1.3988813758835965,30.109549907575907
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.013543128510648504,0.021478051186191355,0.185333290630696,0.12488906950722825,4.778091116816033
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.033312202097446605,0.05078394836518998,0.45471858851104974,0.3348160834899941,15.362121401570086
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.020641842951164596,0.03234264946896602,0.28766072948648097,0.20420836271383974,10.085743230210003
