FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C12_FA_unsat (uM)
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,5.0,0.1,6.0,2.8253866209999832e-06,8.649887535849508e-08,2.910033396736129e-09,1.4258737162200683e-12,1.972774588848561e-14,1.3688477249901275e-14
0.02,0.01,0.02,0.02,0.02,0.2,0.01,0.02,0.02,8.0,0.2,7.0,3.159434162887912e-05,5.023513217267581e-06,1.2421658152561406e-06,5.028444544326995e-09,6.720825205738183e-10,5.626815797052328e-10
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290508892804207e-05,6.1311163544560115e-06,1.728807064320097e-06,7.764276699621742e-09,1.4109676427407757e-09,8.812465586593053e-10
0.03,0.03,0.02,0.03,0.02,0.3,0.03,0.02,0.03,10.0,0.3,10.0,9.428828527477857e-05,2.5474283421440756e-05,1.0211874802029531e-05,7.488137031014725e-08,1.9846688847240085e-08,1.3083348771032008e-08
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173847077546407,4.8108501588985096e-05,3.556424676385341e-05,4.3320687948201745e-07,2.3402610566294833e-07,1.3942645364103204e-07
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002498795535499973,0.00014172203800225715,0.000172332552399084,3.451657786397782e-06,3.2652375948487235e-06,2.6722232779398488e-06
0.04,0.04,0.04,0.04,0.04,0.4,0.04,0.04,0.04,20.0,0.4,20.0,0.0002769849090975117,0.00017814918507879783,0.00024063760186875357,5.563877592496095e-06,5.832642159462784e-06,3.6774606935493623e-06
0.05,0.05,0.05,0.04,0.05,0.5,0.05,0.05,0.04,20.0,0.5,20.0,0.00046098160937945825,0.0003558548847206194,0.0006587566451125116,2.0102702971485037e-05,3.046199970984409e-05,1.7867687420190686e-05
0.06,0.06,0.05,0.06,0.05,0.6,0.06,0.05,0.06,30.0,0.6,30.0,0.0008049281925296373,0.0007805525972985099,0.001769749869053977,7.3214706405432e-05,0.00011749872715164501,7.708644958965264e-05
0.06,0.07,0.07,0.06,0.07,0.6,0.07,0.07,0.06,30.0,0.6,30.0,0.000898708452253483,0.001000782862391035,0.0030860202227566296,0.00016596366338834118,0.0004120220834735196,0.00025671922394478674
0.08,0.07,0.08,0.08,0.07,0.8,0.07,0.08,0.08,40.0,0.8,40.0,0.001642981189488059,0.002170498865651471,0.008668793513146209,0.000628422348199124,0.0018928646172248881,0.001456479565578137
0.09,0.09,0.08,0.09,0.1,0.9,0.09,0.08,0.09,50.0,0.9,50.0,0.0022539509053497503,0.0033255659424607856,0.01525758190429905,0.001417138599297205,0.004487127604816861,0.00275990354788109
0.1,0.1,0.1,0.1,0.1,1.0,0.1,0.1,0.1,60.0,1.0,70.0,0.0028843927869521982,0.004495839825170372,0.023457438146764934,0.002405215100346262,0.008768772943681735,0.005786328468417512
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.002928016454864734,0.004877257053587743,0.03441277350624707,0.005584514998209674,0.040631152777744116,0.024167974605979872
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.0055384523633082725,0.01016700755029479,0.0860055369908043,0.02066892572572712,0.40851406727446204,0.3222728203845795
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.00833832717668096,0.014436745986021285,0.1260992071225457,0.032001713253514204,1.0053906792331837,1.1647564010103295
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13656478419142928,0.2043491075248261,1.782491934949857,0.9198321009337763,19.415239571901193,8.906063652989442
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.012479312259230492,0.019995415808629104,0.17471303837457738,0.05418011360456981,2.0866749528039903,2.1157486730833646
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.03073333531708639,0.04698559090618626,0.42274233314115184,0.1772701978844169,8.13397790869458,5.9990856588524
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.018719686686474803,0.029594782373789597,0.2656824177195143,0.09383591203497052,4.671000104377209,4.138801069964343
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.1042581937129122,0.15588107932629183,1.3932420152948577,0.8041320178700557,32.44244024532357,11.641652542317654
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,600.0,10.0,700.0,0.03445286291029782,0.05225676173898276,0.4719941065369027,0.22980542373071025,13.150246540875608,6.6952101786095986
